world,transition,from_role,to_role,start_tick,previous_duration,current_duration,current_raw_field_intake,current_rekopplung,current_strain
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,2004,1,32,0.0,0.6614584375,0.16547115625
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2036,32,1,0.0,0.708324,0.117814
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,2037,1,57,0.0,0.6585614912280702,0.16754147368421052
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2094,57,1,0.0,0.71101,0.124148
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,2095,1,2,0.0,0.6878029999999999,0.138059
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2097,2,1,0.0,0.705041,0.115511
BTC_STRESS_2024_5M,rekopplungsnaehe->spannungsrand_kippnaehe,rekopplungsnaehe,spannungsrand_kippnaehe,2098,1,1,0.0,0.604201,0.256682
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2099,1,4,0.0,0.66732175,0.15683724999999998
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2103,4,1,0.0,0.568639,0.319332
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2104,1,13,0.0,0.6471286923076923,0.2012306923076923
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2117,13,1,0.0,0.591011,0.303937
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2118,1,1,0.0,0.618971,0.219009
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2119,1,1,0.0,0.601671,0.258022
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2120,1,22,0.0,0.6562572272727273,0.17199045454545456
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2142,22,1,0.0,0.565936,0.321928
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2143,1,30,0.0,0.6443344,0.19065220000000002
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2173,30,1,0.0,0.589941,0.290636
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2174,1,15,0.0,0.6360957333333334,0.20238386666666666
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2189,15,1,0.0,0.702355,0.124907
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,2190,1,7,0.0,0.6641997142857142,0.1721612857142857
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2197,7,1,0.0,0.548033,0.349714
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2198,1,14,0.0,0.6590074285714286,0.16932871428571428
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2212,14,1,0.0,0.605056,0.254718
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2213,1,7,0.0,0.6581807142857142,0.17345614285714286
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2220,7,1,0.0,0.612183,0.252744
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2221,1,41,0.0,0.6555697804878049,0.17534036585365853
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2262,41,1,0.0,0.702289,0.12268
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,2263,1,11,0.0,0.657968,0.17291445454545454
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,2274,11,1,0.0,0.62045,0.250258
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,2275,1,11,0.0,0.6634411818181818,0.16218254545454547
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,2286,11,1,0.0,0.712472,0.118944
