row_type,baseline_source,followup_source,asset_family_pairs,repro_states,followup_qualities,asset_repro_states,asset,family,appearances,dominant_attachment_quality,dominant_attachment_count,second_attachment_quality,second_attachment_count,attachment_quality_gap,attachment_profile_state,attachment_profile,mean_total_count,mean_field_edge_score,baseline_attachment_quality,baseline_attachment_profile,repro_state
asset_family_repro,,,,,,,DOGE,dio_1ewh,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,90.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1gp2,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,58.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1jc2,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,57.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1kpz,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,82.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1lsu,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,108.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1pij,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,53.0,-0.002442,kernnah,kernnah:3,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1q85,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,92.5,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1u5i,2,offen_gemischt,2,-,0,2,familienanschluss_deutlich,offen_gemischt:2,53.0,-0.002442,kernnah,kernnah:3; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0fe7,1,offen_gemischt,1,-,0,1,einzelbeleg,offen_gemischt:1,47.0,-0.009339,kernnah,kernnah:2,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_0z9t,1,offen_gemischt,1,-,0,1,einzelbeleg,offen_gemischt:1,49.0,-0.009339,kernnah,kernnah:2,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_12fw,1,offen_gemischt,1,-,0,1,einzelbeleg,offen_gemischt:1,49.0,0.004455,kernnah,kernnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,DOGE,dio_1492,1,offen_gemischt,1,-,0,1,einzelbeleg,offen_gemischt:1,67.0,0.004455,kernnah,kernnah:2; kernnah_ohne_feldzeit:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_00ja,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,66.0,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_00ly,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,121.5,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_06er,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,158.5,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_06s7,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,94.0,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_07o8,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,63.5,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_0dd2,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,71.0,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_0fe7,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,47.0,0.021266,kernnah,kernnah:1; anschlussnah:1,anschlussqualitaet_reproduziert
asset_family_repro,,,,,,,PAXG,dio_0g2r,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,43.0,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_0h9h,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,194.0,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
asset_family_repro,,,,,,,PAXG,dio_0jqc,2,kernnah,1,offen_gemischt,1,0,familienanschluss_offen_gemischt,kernnah:1; offen_gemischt:1,49.0,0.021266,offen_gemischt,offen_gemischt:2; kernnah:1; anschlussnah:1,anschlussqualitaet_driftet_offen
