preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_1cbmua3,new,nebenrolle,15,6,0.525121,FOLLOW_EQ10K_PAXG_2024_5M,,0
dio_mcm_episode_1chjpo0,new,nebenrolle,15,6,0.823802,BTC_LONG_2025_5M_QUIET,,0
dio_mcm_episode_0m2pnpt,new,nebenrolle,14,7,0.520512,REAL_FOLLOW_XRP_6000,,0
dio_mcm_episode_1hfm623,new,nebenrolle,14,5,0.871976,FOLLOW_EQ10K_XLM_2024_5M,,0
dio_mcm_episode_1yi3qg8,new,nebenrolle,13,7,0.482087,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_1tlnw1j,new,nebenrolle,12,7,0.53542,FOLLOW_EQ10K_XLM_2024_5M,,0
dio_mcm_episode_09k6dby,new,nebenrolle,12,6,0.776191,FOLLOW_EQ10K_PEPE_2024_5M,,0
dio_mcm_episode_0h1ysk6,new,nebenrolle,12,6,0.578909,FOLLOW_EQ10K_XRP_2024_5M,,0
dio_mcm_episode_16qal3x,new,nebenrolle,12,6,0.765272,REAL_FOLLOW_PAXG_6000,,0
dio_mcm_episode_17e1ecl,new,nebenrolle,12,5,0.530329,FOLLOW_EQ10K_PAXG_2024_5M,,0
dio_mcm_episode_1fjn8h8,new,nebenrolle,12,5,0.541156,FOLLOW_EQ10K_XRP_2024_5M,,0
dio_mcm_episode_0m8cxz1,breite_grundrolle,breite_grundrolle,12,1,-0.001562,BTC_LONG_2025_5M_QUIET,BTC_LONG_2025_5M_QUIET,0
dio_mcm_episode_11388rh,new,nebenrolle,11,8,0.445842,FOLLOW_EQ10K_XLM_2024_5M,,0
dio_mcm_episode_0ur4u33,new,nebenrolle,11,6,0.480836,REAL_TIME_2024_SOL_ALTSEQ_A,,0
dio_mcm_episode_0flz7zv,new,nebenrolle,11,5,0.789009,REAL_FOLLOW_PAXG_6000,,0
dio_mcm_episode_0bmlxwo,new,nebenrolle,10,7,0.72689,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_0j5jlak,new,nebenrolle,10,6,0.888537,REAL_TIME_2024_SOL_ALTSEQ_A,,0
dio_mcm_episode_0ys880e,new,nebenrolle,10,6,0.480166,BTC_1H_A,,0
dio_mcm_episode_0db8j50,new,nebenrolle,10,5,0.431265,FOLLOW_EQ10K_TRX_2024_5M,,0
dio_mcm_episode_0yfvuxx,new,nebenrolle,9,7,0.665645,FOLLOW_EQ10K_PEPE_2024_5M,,0
dio_mcm_episode_0x29ikr,new,nebenrolle,9,6,0.612444,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_1ys3c57,new,nebenrolle,9,6,0.476528,FOLLOW_EQ10K_TRX_2024_5M,,0
dio_mcm_episode_16oirtu,new,nebenrolle,8,8,0.447971,BTC_STRESS_2024_5M,,0
