dataset,finalization_index,incoming_relation_events,incoming_existing_relations,new_relations,active_relations,shared_relations,previous_maximum_pareto_depth,current_maximum_pareto_depth,moved_shallower,moved_deeper,unchanged_depth,depth_change_count,depth_change_share,absolute_depth_change_sum,mean_absolute_depth_change,future_event_reads,null_mean_depth_change_share,observed_minus_null_mean_depth_change_share
2091_basis,58,243,220,23,2171,2148,69,71,100,1951,97,2051,0.9548417132216015,4160,1.9366852886405959,0,0.7937243947858477,0.16111731843575383
2091_basis,59,251,192,59,2230,2171,71,70,2097,3,71,2100,0.9672961768770152,2802,1.290649470290189,0,0.8485905112851223,0.11870566559189288
2091_basis,60,278,199,79,2309,2230,70,69,1893,234,103,2127,0.9538116591928251,2606,1.168609865470852,0,0.796385650224215,0.15742600896861003
2091_basis,61,292,197,95,2404,2309,69,70,334,1863,112,2197,0.9514941533131226,2703,1.1706366392377652,0,0.8022563880467736,0.14923776526634902
2091_basis,62,244,191,53,2457,2404,70,74,34,2309,61,2343,0.9746256239600666,8601,3.577787021630616,0,0.8174875207986692,0.15713810316139742
2091_basis,63,285,236,49,2506,2457,74,74,238,154,2065,392,0.15954415954415954,875,0.3561253561253561,0,0.8006145706145705,-0.641070411070411
2091_basis,64,277,203,74,2580,2506,74,74,219,67,2220,286,0.11412609736632083,653,0.2605746209098164,0,0.8840263367917,-0.7699002394253791
2092_holdout,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
2092_holdout,2,20,0,20,20,0,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0.0
2092_holdout,3,24,9,15,35,20,1,4,0,19,1,19,0.95,41,2.05,0,0.8039999999999999,0.14600000000000002
2092_holdout,4,30,10,20,55,35,4,7,2,30,3,32,0.9142857142857143,82,2.342857142857143,0,0.8279999999999994,0.08628571428571485
2092_holdout,5,44,16,28,83,55,7,9,12,38,5,50,0.9090909090909091,95,1.7272727272727273,0,0.8381818181818183,0.07090909090909081
2092_holdout,6,50,19,31,114,83,9,12,5,73,5,78,0.9397590361445783,209,2.5180722891566263,0,0.8542168674698793,0.08554216867469899
2092_holdout,7,80,32,48,162,114,12,15,18,88,8,106,0.9298245614035088,276,2.4210526315789473,0,0.8637719298245601,0.0660526315789487
2092_holdout,8,85,42,43,205,162,15,16,40,119,3,159,0.9814814814814815,205,1.2654320987654322,0,0.889506172839506,0.09197530864197556
2092_holdout,9,41,32,9,214,205,16,18,28,171,6,199,0.9707317073170731,399,1.946341463414634,0,0.747268292682927,0.2234634146341461
2092_holdout,10,63,31,32,246,214,18,22,8,196,10,204,0.9532710280373832,748,3.4953271028037385,0,0.8278037383177572,0.12546728971962595
2092_holdout,11,89,59,30,276,246,22,23,53,186,7,239,0.9715447154471545,287,1.1666666666666667,0,0.7462601626016263,0.22528455284552817
2092_holdout,12,50,32,18,294,276,23,25,23,246,7,269,0.9746376811594203,539,1.9528985507246377,0,0.931702898550726,0.04293478260869432
2092_holdout,13,60,50,10,304,294,25,26,49,239,6,288,0.9795918367346939,373,1.2687074829931972,0,0.7370748299319732,0.2425170068027207
2092_holdout,14,102,69,33,337,304,26,27,58,238,8,296,0.9736842105263158,386,1.269736842105263,0,0.917467105263158,0.05621710526315782
