group,role_family,component,primary_axis,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
timeframe:1h,rf_17,sign,0,abgeschwaecht,50,100,0.45198108761550226,1.0472312703583062,-0.10909090909090907,-0.006776085298791046,0.25,-5.589090096132362e-05,-0.00021685669572993522,0.6,-0.1111111111111111,-0.016388888888888887,0.245
timeframe:1h,rf_17,magnitude,0,verstaerkt,39,100,0.45198108761550226,1.0472312703583062,0.07328431372549032,0.020220571905553236,0.7,0.00027945450480661746,0.00017493852000894245,0.72,0.08333333333333337,0.021388888888888884,0.765
timeframe:1h,rf_17,wick,0,gemischt,30,100,0.45198108761550226,1.0472312703583062,-0.005952380952380876,0.00887849244971029,0.49,0.00011178180192264703,0.00013972725240330867,0.645,0.0,0.008611111111111113,0.525
timeframe:1h,rf_17,volume,0,abgeschwaecht,28,100,0.45198108761550226,1.0472312703583062,-0.1916666666666666,0.01242317039262722,0.04,-0.000335345405767941,0.0004549519338251732,0.05,-0.16666666666666666,0.015277777777777776,0.105
timeframe:1h,rf_21,sign,0,gemischt,44,100,1.148641803475441,0.6791147994467497,0.009551282051282084,-0.008260045714864378,0.67,-0.0006706908115358826,-0.0023513302034428797,0.825,0.02777777777777779,-0.014999999999999996,0.76
timeframe:1h,rf_21,magnitude,0,gemischt,59,100,1.148641803475441,0.6791147994467497,0.06527200277200274,0.010086803413887192,0.8,-0.00033534540576794173,-0.0018634026380505255,0.79,0.08333333333333326,0.007777777777777783,0.8
timeframe:1h,rf_21,wick,0,verstaerkt,18,100,1.148641803475441,0.6791147994467497,0.008613782051282048,0.002178924690341902,0.66,0.0006147999105745585,-5.812653699977669e-05,0.73,0.02777777777777779,0.0027777777777777857,0.73
timeframe:1h,rf_21,volume,0,gemischt,51,100,1.148641803475441,0.6791147994467497,-0.09229444797626618,0.0016451551792114561,0.1,0.00022356360384529362,0.000918287502794545,0.41,-0.08333333333333337,0.000833333333333347,0.195
timeframe:15m,rf_05,sign,0,abgeschwaecht,15,100,0.2312181863878203,0.9826866916979557,-0.08809723519037238,-0.033651635857438834,0.01,-0.0034093449586407344,0.0014833445115135257,0.0,-0.06944444444444442,-0.06888888888888889,0.53
timeframe:15m,rf_05,magnitude,0,abgeschwaecht,48,100,0.2312181863878203,0.9826866916979557,-0.07209333876000545,-0.05944094891019248,0.31,-0.003912363067292646,0.00034484685893136624,0.0,-0.05555555555555558,-0.13395833333333335,0.94
timeframe:15m,rf_05,wick,0,abgeschwaecht,69,100,0.2312181863878203,0.9826866916979557,-0.12983611017298957,-0.03778930593673305,0.0,-0.000894254415381178,-0.0002470377822490495,0.07,-0.08333333333333337,-0.08020833333333333,0.445
timeframe:15m,rf_05,volume,0,gemischt,88,100,0.2312181863878203,0.9826866916979557,-0.026048122082882652,-0.039725624830722034,0.75,0.003185781354795438,0.001735412474849095,1.0,-0.00694444444444442,-0.08347222222222223,0.98
timeframe:15m,rf_06,sign,0,gemischt,0,100,0.5210120305799294,1.345,0.008462662337662352,-0.08727207702262768,1.0,-0.0008942544153811758,-0.002803487592219987,0.99,-0.006944444444444475,-0.13743055555555556,1.0
timeframe:15m,rf_06,magnitude,0,gemischt,40,100,0.5210120305799294,1.345,0.021230802927231562,-0.08102761875060581,1.0,-0.00016767270288397043,-0.0003711155823831881,0.5,0.00694444444444442,-0.11,1.0
timeframe:15m,rf_06,wick,0,gemischt,0,100,0.5210120305799294,1.345,0.01848682965486248,-0.07446355055341083,1.0,-0.0002794545048066177,-0.002513413816230718,1.0,0.013888888888888895,-0.12208333333333334,1.0
timeframe:15m,rf_06,volume,0,abgeschwaecht,98,100,0.5210120305799294,1.345,-0.04119291656056362,-0.06759677722714924,0.93,-0.0017885088307623518,-0.0016202772188687682,0.42,-0.06944444444444448,-0.08826388888888889,0.65
timeframe:15m,rf_07,sign,0,gemischt,58,100,2.3539725387434105,0.31767719897523483,0.0022838254075576714,-0.035393801337870436,0.64,0.0013413816230717635,-0.0005756762799016322,0.915,0.0,-0.043611111111111114,0.61
timeframe:15m,rf_07,magnitude,0,gemischt,34,100,2.3539725387434105,0.31767719897523483,-0.0015893287923938182,-0.050703068726491475,0.68,0.0028504359490274973,-0.000870221327967807,1.0,0.0,-0.06416666666666668,0.685
timeframe:15m,rf_07,wick,0,gemischt,56,100,2.3539725387434105,0.31767719897523483,-0.009742508658334481,-0.042447107474747225,0.64,0.0012854907221104411,4.471272076905875e-05,0.735,0.0,-0.047777777777777794,0.695
timeframe:15m,rf_07,volume,0,gemischt,66,100,2.3539725387434105,0.31767719897523483,-0.0046158023350528765,-0.03707980905661221,0.74,0.004080035770176613,0.0006623071763916834,1.0,0.0,-0.039166666666666676,0.725
timeframe:15m,rf_08,sign,1,verstaerkt,9,100,0.501292711736154,1.0260586319218241,0.1310144927536231,-0.13309262583028972,0.99,0.0006147999105745581,-0.0006175944556226247,0.99,0.13888888888888884,-0.1527777777777778,0.985
timeframe:15m,rf_08,magnitude,0,verstaerkt,15,100,0.501292711736154,1.0260586319218241,0.1894571157044428,-0.11650239238677584,0.99,0.002962217750950145,-0.00021629778672032198,1.0,0.2222222222222222,-0.13749999999999998,1.0
timeframe:15m,rf_08,wick,0,gemischt,21,100,0.501292711736154,1.0260586319218241,0.05191192865105909,-0.08991054575894537,0.9,-0.00022356360384529405,-0.0004119159400849542,0.575,0.05555555555555558,-0.10333333333333333,0.91
timeframe:15m,rf_08,volume,0,gemischt,30,100,0.501292711736154,1.0260586319218241,0.07354181515799474,-0.09571799745584751,0.91,-0.0004471272076905881,-0.00040968030404650124,0.435,0.08333333333333337,-0.1075,0.94
timeframe:15m,rf_10,sign,1,abgeschwaecht,39,100,0.523890102114776,0.9022988505747126,-0.11130952380952386,-0.07813734293440168,0.39,-5.589090096132362e-05,-0.00019505924435501905,0.53,-0.1388888888888889,-0.08277777777777778,0.33
timeframe:15m,rf_10,magnitude,1,abgeschwaecht,45,100,0.523890102114776,0.9022988505747126,-0.07797619047619048,-0.09343088258037993,0.55,-0.00027945450480661746,-0.00020176615247037788,0.49,-0.1388888888888889,-0.10527777777777778,0.43
timeframe:15m,rf_10,wick,0,gemischt,30,100,0.523890102114776,0.9022988505747126,-0.0029761904761904656,-0.09417572509560014,0.77,2.168404344971009e-19,-0.00040800357701766156,0.72,-0.02777777777777779,-0.10472222222222223,0.7
timeframe:15m,rf_10,volume,0,gemischt,32,100,0.523890102114776,0.9022988505747126,0.03708791208791207,-0.06565406120158296,0.84,0.00027945450480661746,-5.6449809970936765e-05,0.66,0.0,-0.06666666666666668,0.73
timeframe:15m,rf_13,sign,0,gemischt,38,100,0.14455981408974777,1.0034562211981566,-0.03429384392881851,-0.04687452053011396,0.52,0.00027945450480661724,-0.0003152246814218646,0.78,-0.03703703703703709,-0.052037037037037034,0.505
timeframe:15m,rf_13,magnitude,0,abgeschwaecht,54,100,0.14455981408974777,1.0034562211981566,-0.18771929824561406,-0.03578241681966652,0.01,-0.0010619271182651466,-0.0005331991951710263,0.255,-0.2777777777777778,-0.05629629629629628,0.0
timeframe:15m,rf_13,wick,0,abgeschwaecht,59,100,0.14455981408974777,1.0034562211981566,-0.20059979007347428,-0.051230691403858095,0.0,-0.001006036217303823,-0.000594679186228482,0.33,-0.24074074074074076,-0.0774074074074074,0.01
timeframe:15m,rf_13,volume,0,gemischt,38,100,0.14455981408974777,1.0034562211981566,-0.11681286549707603,-0.04394601228532259,0.12,0.0,-8.942544153811765e-05,0.595,-0.16666666666666663,-0.05314814814814814,0.0
timeframe:15m,rf_17,sign,0,abgeschwaecht,35,100,0.45198108761550226,1.0472312703583062,-0.47251461988304094,-0.03195278823938323,0.0,-0.0021797451374916165,-0.00012016543706684555,0.0,-0.5555555555555556,-0.03527777777777778,0.0
timeframe:15m,rf_17,magnitude,0,abgeschwaecht,31,100,0.45198108761550226,1.0472312703583062,-0.3509868421052631,-0.03108499567429154,0.02,-0.0013972725240330875,0.0004918399284596467,0.01,-0.41666666666666663,-0.033888888888888885,0.02
timeframe:15m,rf_17,wick,0,abgeschwaecht,54,100,0.45198108761550226,1.0472312703583062,-0.20002139495079163,-0.05734425612931451,0.11,-0.0008942544153811762,-0.0003174603174603175,0.165,-0.2222222222222222,-0.0638888888888889,0.1
timeframe:15m,rf_17,volume,0,abgeschwaecht,36,100,0.45198108761550226,1.0472312703583062,-0.2865846681922197,-0.029635377120386254,0.0,-0.001900290632684999,-0.00013972725240330876,0.0,-0.36111111111111105,-0.030277777777777782,0.0
timeframe:15m,rf_21,sign,0,gemischt,49,100,1.148641803475441,0.6791147994467497,-0.027813852813852846,-0.032030162621397906,0.47,0.00016767270288397043,-9.501453163425015e-05,0.47,0.0,-0.03944444444444445,0.585
timeframe:15m,rf_21,magnitude,0,gemischt,45,100,1.148641803475441,0.6791147994467497,-0.012159090909090953,-0.04333311927109548,0.62,-0.00027945450480661854,5.3096355913257065e-05,0.45,0.0,-0.05472222222222223,0.66
timeframe:15m,rf_21,wick,0,gemischt,60,100,1.148641803475441,0.6791147994467497,-0.030909090909090886,-0.03763678451306445,0.47,0.00027945450480661854,0.0004968701095461657,0.49,0.0,-0.042777777777777796,0.69
timeframe:15m,rf_21,volume,0,gemischt,74,100,1.148641803475441,0.6791147994467497,-0.027221940071102124,-0.03814216378561565,0.53,0.0007824726134585298,0.0016303375810418062,0.14,0.0,-0.0413888888888889,0.735
