axis;inner_effect_state;mcm_preview_symbol;signature_label;world_count;worlds;total_count;world_relative_ratio_sum;recoupling_balance;stdev_recoupling_balance;avg_mcm_rekopplung_quality;avg_mcm_strain_quality;avg_mcm_carry_quality;avg_rezeptor_field_intake_pressure;avg_axis_z;avg_perception_adaptation_potential;avg_perception_visual_focus_tendency;avg_perception_visual_distance_tendency;avg_perception_auditory_listen_tendency;avg_perception_auditory_softening_tendency;avg_perception_felt_distance_tendency
feldinput;inner_effect_carried_unrest;dio_mcm_episode_1rxdw4p;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.32648450000000007;0.0;0.6278345000000001;0.2351005;0.4168235;0.26499799999999996;1.775216;0.16622900000000002;0.613556;0.3328455;0.624579;0.375421;0.28024099999999996
feldinput;inner_effect_stable;dio_mcm_episode_0mji3u6;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.4897945;0.0;0.705434;0.17106949999999999;0.5465855;0.17828;0.6587149999999999;0.147166;0.627444;0.37740799999999997;0.728519;0.271481;0.2034455
fuehlen_abstand;inner_effect_tipping;dio_mcm_episode_0mji3u6;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.14436174999999996;0.0;0.573275;0.3167575;0.37735799999999997;0.448623;4.446247;0.24476699999999998;0.5416485;0.515823;0.3221325;0.6778675000000001;0.484367
hoeren_hin;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.47834287499999995;0.0;0.6748965;0.174066;0.487054;0.0899505;0.7184925;0.127028;0.646976;0.383905;0.8653154999999999;0.1346845;0.1949205
hoeren_hin;inner_effect_stable;dio_mcm_episode_0hjnwsk;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.594450625;0.0;0.722873;0.11715149999999999;0.5460365;0.0450835;1.0222975;0.11126549999999999;0.655478;0.323581;0.8991629999999999;0.10083700000000001;0.1396575
hoeren_hin;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.5515427500000001;0.0;0.7196765;0.147349;0.5607125;0.083139;0.695793;0.1159055;0.6534025;0.31797600000000004;0.8627864999999999;0.1372135;0.13456600000000002
hoeren_hin;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.577307;0.0;0.7195855;0.12611899999999998;0.543277;0.064638;0.748413;0.11269950000000001;0.6501515;0.2904235;0.868649;0.131351;0.13799699999999998
hoeren_hin;inner_effect_stable;dio_mcm_episode_1xp8xyu;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.530065;0.0;0.687009;0.1415845;0.4705195;0.061438000000000006;0.6579515;0.1176915;0.6465050000000001;0.331456;0.8585704999999999;0.14142949999999999;0.1405705
hoeren_leise;inner_effect_stable;dio_mcm_episode_0mji3u6;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.45458725;0.0;0.6790255000000001;0.174668;0.48519199999999996;0.199081;1.3757595;0.1652905;0.636537;0.39047149999999997;0.631991;0.36800900000000003;0.24017
hoeren_leise;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.433631625;0.0;0.673805;0.1805745;0.4718545;0.23839549999999998;1.642836;0.1742775;0.5904959999999999;0.40509649999999997;0.6022355;0.39776449999999997;0.276947
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0r1o8ja;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.38651862499999995;0.0;0.6316714999999999;0.2110265;0.4159125;0.1365055;1.9885915;0.167024;0.6345105;0.5438365000000001;0.728488;0.271512;0.2701875
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0yx4mnl;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.4374905000000001;0.0;0.6539155000000001;0.18509799999999998;0.441916;0.125308;1.967072;0.159456;0.6024075;0.5416799999999999;0.7628775000000001;0.2371225;0.247683
sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1u741ze;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.339089375;0.0;0.6190295;0.232877;0.402468;0.1882525;2.61221;0.1894535;0.6216285;0.60633;0.6222635;0.37773650000000003;0.29076
sehen_abstand;inner_effect_stable;dio_mcm_episode_0lne9ax;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.5201905;0.0;0.7038115;0.15789750000000002;0.5411965000000001;0.102894;1.3887675;0.14298450000000001;0.618613;0.4837275;0.8139540000000001;0.186046;0.201539
sehen_abstand;inner_effect_stable;dio_mcm_episode_0qzjuvj;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.4962575;0.0;0.6955745;0.16782799999999998;0.528361;0.12595599999999998;0.89744;0.145393;0.633284;0.434491;0.763899;0.236101;0.1937255
sehen_abstand;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.512996;0.0;0.70092;0.16090300000000002;0.5289145;0.10808399999999999;0.5521885;0.13384200000000002;0.6355569999999999;0.399893;0.8099705;0.19002950000000002;0.17194399999999999
sehen_abstand;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.533670125;0.0;0.7081275;0.148528;0.5384009999999999;0.10371749999999999;0.81917;0.137801;0.627766;0.42664749999999996;0.802892;0.197108;0.1813895
sehen_fokus;inner_effect_stable;dio_mcm_episode_0v93uai;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.48858975000000016;0.0;0.6772290000000001;0.1587325;0.45111749999999995;0.119627;1.7526215;0.122406;0.6953655000000001;0.2344405;0.772211;0.22778900000000002;0.1369575
sehen_fokus;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.57483625;0.0;0.7242405000000001;0.1291735;0.5547314999999999;0.080923;0.8116479999999999;0.11171249999999999;0.666685;0.2560855;0.8471385;0.15286149999999998;0.122691
sehen_fokus;inner_effect_stable;dio_mcm_episode_18n06fj;einzelspur;1;SOL2025_1H;2;0.0010030090270812437;0.5522057500000002;0.0;0.7151350000000001;0.136855;0.5422755;0.104297;1.0945255;0.112366;0.675307;0.25253400000000004;0.8600005;0.1399995;0.14485599999999998
ausgeglichen;inner_effect_stable;dio_mcm_episode_08fjvls;einzelspur;1;SOL2025_1H;1;0.0005015045135406219;0.4755505;0.0;0.669704;0.165184;0.439097;0.115878;0.239903;0.125122;0.649144;0.326132;0.811995;0.188005;0.146107
ausgeglichen;inner_effect_stable;dio_mcm_episode_0ne8zu9;einzelspur;1;SOL2025_1H;1;0.0005015045135406219;0.4846147499999999;0.0;0.698751;0.177271;0.54335;0.147461;0.30503;0.137537;0.640822;0.375125;0.779766;0.220234;0.181479
ausgeglichen;inner_effect_stable;dio_mcm_episode_0vszw6h;einzelspur;1;SOL2025_1H;1;0.0005015045135406219;0.48166349999999997;0.0;0.681217;0.161701;0.475456;0.15141;0.343433;0.128134;0.652414;0.296963;0.791339;0.208661;0.166848
ausgeglichen;inner_effect_stable;dio_mcm_episode_0z748ck;einzelspur;1;SOL2025_1H;1;0.0005015045135406219;0.5267514999999999;0.0;0.705884;0.153012;0.535015;0.104482;0.201988;0.13354;0.632038;0.364799;0.790927;0.209073;0.174454
ausgeglichen;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;SOL2025_1H;1;0.0005015045135406219;0.5168222499999999;0.0;0.710241;0.165201;0.560755;0.112871;0.187296;0.129601;0.647655;0.340269;0.800946;0.199054;0.165562
