holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
xrp2024,dio_12yl,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_12yl7i5:2,0.378836,0.2721035,0.5901645
xrp2024,dio_138t,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_138tge5:2,0.3900865,0.2393845,0.6218055
xrp2024,dio_13fy,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_13fy61a:2,0.417458,0.20144499999999999,0.640496
xrp2024,dio_13it,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_13itwit:2,0.4057755,0.222294,0.617649
xrp2024,dio_13np,offener_feldkontakt,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_13np5hn:2,0.3501325,0.285392,0.591978
xrp2024,dio_13th,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_13thjdc:2,0.3477635,0.2984445,0.582023
xrp2024,dio_13y1,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_13y1dy7:2,0.43322249999999995,0.1744305,0.655135
xrp2024,dio_14de,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_14de2e2:2,0.4273665,0.2057975,0.6471675
xrp2024,dio_14e7,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_14e7b9e:2,0.3991295,0.2749655,0.605097
xrp2024,dio_14e7,spannungsnahe_oeffnung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_14e7b9e:2,0.34316,0.3180365,0.5706154999999999
xrp2024,dio_14l0,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_14l0fnx:2,0.4012465,0.2329965,0.6147775
xrp2024,dio_14qs,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_14qsmmf:2,0.3995705,0.22088200000000002,0.6290340000000001
