pair,total_count,source_profile,dominant_role_shift,dominant_role_shift_count,dominant_role_shift_share,role_shift_profile,movement_effect,avg_pressure_delta,avg_sharpness_delta,avg_focus_delta,avg_rekopplung_delta,avg_loudness_delta
dio_mcm_episode_10b8y4e->dio_mcm_episode_18n06fj,6,SOL2024_10K:3;SOL2025_10K:3,offene_variante->zentrum_stabil,2,0.333333,offene_variante->zentrum_stabil:2;zentrum_stabil->zentrum_stabil:2,rekoppelnd_entlastend,-0.020082,0.152453,-0.023627,0.007982,-0.048359
dio_mcm_episode_0hjnwsk->dio_mcm_episode_0qzjuvj,6,SOL2024_10K:3;SOL2025_10K:3,zentrum_stabil->zentrum_stabil,4,0.666667,zentrum_stabil->zentrum_stabil:4,rekoppelnd_entlastend,-0.034147,0.236212,-0.02036,0.028042,-0.070651
dio_mcm_episode_0e7qvj1->dio_mcm_episode_19cadje,6,SOL2025_10K:3;BTC_5M_10K:2;SOL2024_10K:1,zentrum_stabil->spannungsrand_kippnaehe,5,0.833333,zentrum_stabil->spannungsrand_kippnaehe:5;offene_variante->spannungsrand_kippnaehe:1,oeffnend_belastend,0.259341,-0.205315,0.157659,-0.180393,0.711588
dio_mcm_episode_0ldenly->dio_mcm_episode_0lne9ax,6,SOL2025_10K:6,offene_variante->zentrum_stabil,4,0.666667,offene_variante->zentrum_stabil:4,rekoppelnd_entlastend,-0.033229,-0.137759,-0.029944,0.022155,-0.11738
dio_mcm_episode_0db07p4->dio_mcm_episode_05ce83b,6,SOL2025_10K:6,zentrum_stabil->offene_variante,4,0.666667,zentrum_stabil->offene_variante:4,oeffnend_belastend,0.101583,-0.151138,0.116644,-0.06311,0.280165
dio_mcm_episode_0aztxel->dio_mcm_episode_0qzjuvj,6,SOL2025_10K:4;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,6,1.0,zentrum_stabil->zentrum_stabil:6,rekoppelnd_entlastend,-0.029082,0.002908,-0.029823,0.018055,-0.063118
dio_mcm_episode_1i31hl0->dio_mcm_episode_0om13wf,6,SOL2025_10K:4;BTC_5M_10K:2,offene_variante->zentrum_stabil,4,0.666667,offene_variante->zentrum_stabil:4,rekoppelnd_entlastend,-0.04187,0.092833,0.009866,0.062878,0.011156
dio_mcm_episode_0tf9fq3->dio_mcm_episode_0l3i7ey,6,SOL2025_10K:4;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,3,0.5,zentrum_stabil->zentrum_stabil:3;offene_variante->zentrum_stabil:2,rekoppelnd_entlastend,-0.019526,0.06944,-0.020401,0.021137,-0.010032
dio_mcm_episode_17i4j9o->dio_mcm_episode_1ahj81f,5,SOL2024_10K:5,zentrum_stabil->zentrum_stabil,5,1.0,zentrum_stabil->zentrum_stabil:5,rekoppelnd_entlastend,-0.0233,5e-06,-0.00859,0.022192,-0.05354
dio_mcm_episode_1jwnjz4->dio_mcm_episode_14coypf,5,SOL2024_10K:5,zentrum_stabil->zentrum_stabil,5,1.0,zentrum_stabil->zentrum_stabil:5,rekoppelnd_entlastend,-0.023688,0.130094,-0.039214,0.007715,-0.071231
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0kvnsmd,5,SOL2024_10K:3;SOL2025_10K:2,zentrum_stabil->spannungsrand_kippnaehe,5,1.0,zentrum_stabil->spannungsrand_kippnaehe:5,oeffnend_belastend,0.227391,-0.096262,0.064515,-0.153592,0.613418
dio_mcm_episode_0re1g5d->dio_mcm_episode_1jwnjz4,5,SOL2024_10K:3;SOL2025_10K:2,zentrum_stabil->zentrum_stabil,4,0.8,zentrum_stabil->zentrum_stabil:4,bewegung_offen,-0.001354,0.054609,0.005,0.002772,0.009851
dio_mcm_episode_1joiyc3->dio_mcm_episode_0db07p4,5,SOL2024_10K:3;SOL2025_10K:2,offene_variante->zentrum_stabil,1,0.2,offene_variante->zentrum_stabil:1;offene_variante->offene_variante:1,oeffnend_belastend,0.050008,0.095465,0.022933,-0.021802,0.160398
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0f1kb3e,5,SOL2025_10K:3;SOL2024_10K:2,zentrum_stabil->spannungsrand_kippnaehe,5,1.0,zentrum_stabil->spannungsrand_kippnaehe:5,oeffnend_belastend,0.213771,-0.202514,0.114109,-0.162496,0.529765
dio_mcm_episode_0om13wf->dio_mcm_episode_0ne8zu9,5,SOL2025_10K:2;BTC_5M_10K:2;SOL2024_10K:1,zentrum_stabil->zentrum_stabil,3,0.6,zentrum_stabil->zentrum_stabil:3;offene_variante->zentrum_stabil:1,rekoppelnd_entlastend,-0.027204,0.14564,-0.024449,0.030493,-0.047261
dio_mcm_episode_0ne8zu9->dio_mcm_episode_07llqq8,5,BTC_5M_10K:4;SOL2024_10K:1,offene_variante->zentrum_stabil,2,0.4,offene_variante->zentrum_stabil:2;offene_variante->offene_variante:1,rekoppelnd_entlastend,-0.022806,-0.127064,0.013959,0.027304,-0.031343
