world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
ALTSEQ_2023,dio_1c9k,nur_gereift,1,0,1,0.000000,1.000000,0.647647,0.696045,0.196374,1.000000,0.000000
ALTSEQ_2023,dio_0zq5,offen_und_gereift,2,1,1,0.500000,0.500000,0.625204,0.667809,0.234879,0.125000,0.500000
ALTSEQ_2023,dio_02n3,nur_gereift,6,0,6,0.000000,1.000000,0.718312,0.765158,0.114916,1.000000,0.187500
ALTSEQ_2023,dio_161r,nur_gereift,1,0,1,0.000000,1.000000,0.670392,0.721687,0.159283,1.000000,0.000000
ALTSEQ_2023,dio_05cl,nur_offen,1,1,0,1.000000,0.000000,0.569365,0.606866,0.299358,0.000000,0.000000
ALTSEQ_2023,dio_04tr,offen_und_gereift,2,1,1,0.500000,0.500000,0.631244,0.670643,0.214685,0.125000,0.500000
ALTSEQ_2023,dio_01kh,offen_und_gereift,7,3,4,0.428571,0.571429,0.665789,0.704740,0.183305,0.059524,0.571429
ALTSEQ_2023,dio_1vs6,nur_gereift,1,0,1,0.000000,1.000000,0.615092,0.659350,0.245755,0.166667,1.000000
ALTSEQ_2023,dio_0wx9,nur_gereift,1,0,1,0.000000,1.000000,0.591414,0.629069,0.264134,0.166667,1.000000
ALTSEQ_2023,dio_0bgi,nur_gereift,1,0,1,0.000000,1.000000,0.588292,0.623449,0.260464,0.166667,1.000000
ALTSEQ_2023,dio_1uci,nur_gereift,1,0,1,0.000000,1.000000,0.629357,0.674694,0.218612,0.166667,1.000000
ALTSEQ_2023,dio_11at,nur_offen,2,2,0,1.000000,0.000000,0.641614,0.681659,0.196426,0.125000,0.000000
ALTSEQ_2023,dio_1swb,nur_gereift,1,0,1,0.000000,1.000000,0.649748,0.698441,0.196195,1.000000,0.250000
ALTSEQ_2023,dio_05il,nur_offen,2,2,0,1.000000,0.000000,0.625192,0.661359,0.214829,0.125000,0.000000
ALTSEQ_2023,dio_1mev,nur_gereift,1,0,1,0.000000,1.000000,0.674754,0.725519,0.142597,1.000000,0.250000
ALTSEQ_2023,dio_08cw,nur_offen,1,1,0,1.000000,0.000000,0.596640,0.632186,0.246293,0.166667,0.000000
ALTSEQ_2023,dio_1sxt,nur_gereift,1,0,1,0.000000,1.000000,0.616381,0.659959,0.233815,0.166667,1.000000
ALTSEQ_2023,dio_03be,nur_gereift,1,0,1,0.000000,1.000000,0.661370,0.711995,0.176716,1.000000,0.000000
