name,group,run,window,tick_start,tick_end,local_role,hearing_load,visual_load,field_pressure,relief,sensory_conflict,kipp_pressure,fit,rekopplung,field_strain,field_carry,afterimage
PREVIEW_REAL2_2023,preview,1,23,881,960,lokal_rekoppelnd,0.14249785574999999,0.20412274225000002,0.18187480325000002,0.7116542459999999,0.06435251962500003,0.15896027583,0.99143549575,0.64090715,0.1547123625,0.353637,0.0048972875
PREVIEW_REAL2_2023,preview,2,1,1,80,lokale_multisensorische_kippnaehe,0.228640917,0.3368162835,0.21492656425,0.6944093315,0.11740913212499998,0.23186875238999996,0.932197964,0.613435025,0.2285369125,0.3457579,0.0
PREVIEW_REAL2_2023,preview,2,2,41,120,lokale_multisensorische_kippnaehe,0.23270442925000004,0.3839433405,0.22497842324999998,0.6837795710000001,0.16473804374999998,0.25534578411,0.916654538375,0.603151325,0.23972868749999998,0.32686506249999997,0.0
PREVIEW_REAL2_2023,preview,2,3,81,160,lokale_multisensorische_kippnaehe,0.21038748825000003,0.36094862125000005,0.2198385235,0.6887344234999999,0.16536502175,0.24272093822000002,0.93417046875,0.6075644,0.23273229999999998,0.3353750125,0.0
PREVIEW_REAL2_2023,preview,2,4,121,200,lokale_multisensorische_kippnaehe,0.21016056049999998,0.31550336474999996,0.2109577205,0.695969107,0.11781937674999997,0.22095522171999998,0.948125757875,0.6156965000000001,0.21955382499999998,0.3476171,8.04625e-05
PREVIEW_REAL2_2023,preview,2,5,161,240,lokal_offen,0.19859421049999998,0.27907180574999996,0.2040284025,0.6988337365,0.08877040774999997,0.20229333403999997,0.965195394375,0.620974275,0.20269427499999998,0.347269125,8.04625e-05
PREVIEW_REAL2_2023,preview,2,6,201,280,lokal_offen,0.19146632524999999,0.25739586299999995,0.19884241700000002,0.70418201675,0.06894988462499996,0.19034217683999996,0.9744113228750001,0.6260742125000001,0.194751575,0.3535765375,0.0
PREVIEW_REAL2_2023,preview,2,7,241,320,lokal_offen,0.20526763150000002,0.2529745205,0.19796606475,0.7054298675,0.04903681025000001,0.18909178943,0.9688449887499999,0.627382325,0.19412778749999998,0.355328125,0.0
PREVIEW_REAL2_2023,preview,2,8,281,360,lokal_offen,0.206488978,0.25902312774999997,0.1992007445,0.703217139,0.05384004787499998,0.19204958105999997,0.966444691625,0.6261554,0.193573575,0.349684875,0.0001
PREVIEW_REAL2_2023,preview,2,9,321,400,lokal_offen,0.21353549075000006,0.281748709,0.20419868025000004,0.6999540112499999,0.07711281699999993,0.20471778355,0.956556580375,0.6219728124999999,0.20304091249999998,0.34580877499999996,0.0001
PREVIEW_REAL2_2023,preview,2,10,361,440,lokal_offen,0.21443274200000004,0.28205057874999995,0.20286250800000002,0.7020794324999999,0.07824138674999992,0.20470512174,0.954620847625,0.624067375,0.20515895,0.353576825,0.0009860375
PREVIEW_REAL2_2023,preview,2,11,401,480,lokal_offen,0.20764827474999997,0.27784398125,0.20060191700000002,0.70531878,0.07427966400000001,0.20061957779999998,0.957855789,0.6269464250000001,0.20468572499999999,0.3606204375,0.0013782875
PREVIEW_REAL2_2023,preview,2,12,441,520,lokal_rekoppelnd,0.21807096400000003,0.25891998149999995,0.19861462525,0.70717354725,0.04163359499999992,0.19264046721,0.9601191525,0.6280560125,0.20136961250000002,0.363588,0.0004718
PREVIEW_REAL2_2023,preview,2,13,481,560,lokal_rekoppelnd,0.18912844200000004,0.2328683575,0.19126969625,0.7115890954999999,0.04581948424999998,0.17746744001,0.9802712965,0.6337073,0.1862762375,0.3678723625,0.00028965
PREVIEW_REAL2_2023,preview,2,14,521,600,lokal_rekoppelnd,0.16366119875000001,0.2380891935,0.191705753,0.7117161630000001,0.08024130662499997,0.17827277428,0.990830556875,0.63417065,0.18619035,0.36499005,0.0003152375
PREVIEW_REAL2_2023,preview,2,15,561,640,lokal_offen,0.19916133700000002,0.28619300975,0.20401294450000002,0.7021539640000001,0.09673967087499999,0.20540805058,0.961335771125,0.62327365,0.205495825,0.34934980000000004,0.0001051375
PREVIEW_REAL2_2023,preview,2,16,601,680,lokale_multisensorische_kippnaehe,0.206075656,0.3050772385,0.20776354300000002,0.6977103572500001,0.10748237562500002,0.21466875026,0.95218709575,0.6187230875,0.207966975,0.3402584375,2.5450000000000002e-05
PREVIEW_REAL2_2023,preview,2,17,641,720,lokal_offen,0.19607074375,0.26994658875,0.20196581,0.6986587775,0.080621084375,0.1974512249,0.96895714375,0.622433325,0.19426795,0.341506475,0.00016871250000000001
PREVIEW_REAL2_2023,preview,2,18,681,760,lokal_offen,0.19706541475000003,0.26966063100000004,0.20183592825000002,0.6986883859999999,0.079192445,0.19734597635000004,0.968472905375,0.622833725,0.1942338375,0.3416174125,0.0001982
PREVIEW_REAL2_2023,preview,2,19,721,800,lokal_offen,0.19131882050000001,0.249515474,0.19689057299999999,0.7006610315,0.060595286624999974,0.18637608281999998,0.97647342575,0.6266096250000001,0.18255095000000002,0.34195220000000004,0.0005995
PREVIEW_REAL2_2023,preview,2,20,761,840,lokal_rekoppelnd,0.15978330075000002,0.20658014025,0.18458213100000004,0.7105865925,0.047542903874999966,0.16198365762,0.9985995894999999,0.638394175,0.16289945,0.3559454,0.0024065125
PREVIEW_REAL2_2023,preview,2,21,801,880,lokal_rekoppelnd,0.164255733,0.19813491449999998,0.18475518925,0.711994277,0.03688380024999999,0.15938703157,0.9964401345,0.638955225,0.1664022375,0.3603615875,0.002124375
PREVIEW_REAL2_2023,preview,2,22,841,920,lokal_rekoppelnd,0.1727863865,0.20334857975,0.18621480025,0.7088078245,0.031101048875000006,0.16228588780999997,0.998147317125,0.63629685,0.1653041375,0.3543868125,0.0020733624999999998
PREVIEW_REAL2_2023,preview,2,23,881,960,lokal_rekoppelnd,0.14249785574999999,0.20412274225000002,0.18176600825,0.71154370475,0.06435251962500003,0.15892110962999997,0.9915442907500001,0.6406106874999999,0.1545548625,0.353913225,0.0048972875
PREVIEW_REAL3_2023,preview,1,1,1,80,lokal_offen,0.23708371075000004,0.25672339075,0.20389967850000001,0.6979338775,0.019705913124999967,0.19507053472,0.95699612775,0.6214782249999999,0.201653625,0.3455389,0.0
PREVIEW_REAL3_2023,preview,1,2,41,120,lokal_rekoppelnd,0.1764326375,0.22977704524999998,0.19457208025,0.7013964045,0.054121569624999984,0.17619572389,0.991467238875,0.6283674,0.1755439375,0.3395234125,0.0009594374999999999
PREVIEW_REAL3_2023,preview,1,3,81,160,lokal_offen,0.18878084425,0.25412717075,0.2003584385,0.699512337,0.06946151712500002,0.18954080420000002,0.978904431,0.62463415,0.188724175,0.337477925,0.0009594374999999999
PREVIEW_REAL3_2023,preview,1,4,121,200,lokal_rekoppelnd,0.21925233675,0.26827208025,0.20387027675000002,0.702012781,0.05013271724999999,0.19842039446999998,0.9601080682500001,0.6234916,0.2050682375,0.34907469999999996,0.0
PREVIEW_REAL3_2023,preview,1,5,161,240,lokal_rekoppelnd,0.204133905,0.244432082,0.19805412075,0.707895983,0.04045645137499999,0.18542835257,0.97377112725,0.628995025,0.19963401249999999,0.36231318749999997,0.0
PREVIEW_REAL3_2023,preview,1,6,201,280,lokal_rekoppelnd,0.20921584325,0.25386354099999997,0.202252757,0.70230485475,0.048166685249999966,0.19165671437999998,0.970713064875,0.6247869625,0.202333075,0.3509580875,0.0
PREVIEW_REAL3_2023,preview,1,7,241,320,lokal_offen,0.2159621325,0.30886042999999996,0.2093389545,0.70027865625,0.10896085187499999,0.21875317492,0.94692767325,0.6200386124999999,0.218775225,0.349176775,7.7775e-05
PREVIEW_REAL3_2023,preview,1,8,281,360,lokale_multisensorische_kippnaehe,0.23866349375000007,0.39842342875,0.22658617425000005,0.689537826,0.1901107712499999,0.26488960753,0.9080427130000001,0.605467075,0.2529758375,0.33856756250000003,0.00053355
PREVIEW_REAL3_2023,preview,1,9,321,400,lokale_multisensorische_kippnaehe,0.26042942475,0.39954892350000004,0.23052982600000005,0.6824779475,0.16176295875000002,0.26726761434,0.900540651875,0.5998325999999999,0.253621875,0.32670893749999996,0.000455775
PREVIEW_REAL3_2023,preview,1,10,361,440,lokal_offen,0.24185512175,0.3293957055,0.21477646974999998,0.69609487525,0.09507605312500002,0.22963189615000001,0.9291510561249999,0.6146866625,0.22955118749999998,0.346730675,4.07e-05
PREVIEW_REAL3_2023,preview,1,11,401,480,lokal_offen,0.22623242,0.31880222199999997,0.2100288845,0.7003896695,0.09790794512499998,0.22208398372,0.9375115635,0.619077125,0.22250442499999998,0.35322054999999997,4.07e-05
PREVIEW_REAL3_2023,preview,1,12,441,520,lokale_multisensorische_kippnaehe,0.22641006199999997,0.36744856400000003,0.22019091750000003,0.694817263,0.15939997450000007,0.24729879646000003,0.9232616044999999,0.610556475,0.24574135,0.3521379375,3.38125e-05
PREVIEW_REAL3_2023,preview,1,13,481,560,lokale_multisensorische_kippnaehe,0.20586543475000002,0.3737982485,0.22062497025000002,0.696097959,0.19753053749999996,0.25014915927000003,0.9307931286250001,0.6102787000000001,0.2525301125,0.3618419,3.38125e-05
PREVIEW_REAL3_2023,preview,1,14,521,600,lokale_multisensorische_kippnaehe,0.20195407225000006,0.34454180800000006,0.2136522965,0.69703648625,0.161033602,0.23383921432000002,0.940404356375,0.6145377375,0.23160565000000002,0.35602283749999997,0.001225
PREVIEW_REAL3_2023,preview,1,15,561,640,lokal_offen,0.21942985300000004,0.33218125024999995,0.213245148,0.696380522,0.1223877809999999,0.22873696301999996,0.937439596375,0.61515535,0.22834854999999998,0.35178037500000003,0.0015070375
PREVIEW_REAL3_2023,preview,1,16,601,680,lokal_rekoppelnd,0.19911866649999999,0.29989500350000003,0.20570835725,0.7030806755,0.11159712075000004,0.21167382873,0.95620152225,0.62210115,0.2181404875,0.36377566250000004,0.0003118875
PREVIEW_REAL3_2023,preview,1,17,641,720,lokal_rekoppelnd,0.19351344475000004,0.28606380275,0.20339372475,0.70252845725,0.10085750299999995,0.20445748079,0.963605101,0.6230236625,0.2074021875,0.3559867,5.6725e-05
PREVIEW_REAL3_2023,preview,1,18,681,760,lokal_offen,0.18762497050000002,0.29632874925,0.203745302,0.69889941425,0.11324030812500001,0.20761565076,0.961768442125,0.6215625625000001,0.19989555,0.34322085,0.00013515
PREVIEW_REAL3_2023,preview,1,19,721,800,lokal_offen,0.18354095350000002,0.3121062185,0.20504755949999998,0.70074318375,0.14007756562499996,0.21518485319999997,0.9572239735,0.6214614375,0.20886667499999997,0.352081825,0.00010827499999999999
PREVIEW_REAL3_2023,preview,1,20,761,840,lokal_rekoppelnd,0.18147565950000002,0.308278819,0.20387129450000002,0.7019904007500001,0.13717602199999995,0.21288290438000002,0.95899405525,0.6223936875,0.206707925,0.353174575,0.000155375
PREVIEW_REAL3_2023,preview,1,21,801,880,lokal_offen,0.19622745850000003,0.29023617725,0.20161096000000003,0.6997418875,0.09412437187499997,0.20439111768000004,0.958379142125,0.623008625,0.1962435,0.3459488,0.0002863375
PREVIEW_REAL3_2023,preview,1,22,841,920,lokal_offen,0.21640280399999998,0.29748629849999997,0.20731923624999998,0.696761831,0.083794747625,0.21137546926999998,0.950374685,0.6187243,0.2092551125,0.34466835,0.0001646125
PREVIEW_REAL3_2023,preview,1,23,881,960,lokal_offen,0.18481556975000002,0.28362493125,0.20435712150000002,0.6989798895,0.10108595837499998,0.20216803732,0.970136871,0.621306225,0.200539575,0.3415642,3.365e-05
PREVIEW_REAL3_2023,preview,2,1,1,80,lokal_offen,0.23713965400000003,0.25672339075,0.20387254424999998,0.69783797125,0.01964996987499997,0.19506524185,0.956941021875,0.6212239375,0.2015278875,0.34576596249999997,0.0
